temperature,heat_index,humidity,pressure,wind_direction,wind_speed,precipitation,gust_speed,sealevel_pressure,conditions
50,1.23,84,30.46,109.87,3.37,95,7.87,29.81,Smoke
50,1.23,81,30.47,123.25,3.37,96,4.5,30.09,Smoke
50,1.26,75,30.46,158.64,4.5,97,7.87,30.17,Smoke
50,1.17,70,30.46,165.22,5.62,97,5.62,29.95,Smoke
50,1.22,63,30.46,160.51,3.37,97,9,30.37,Smoke
50,1.22,51,30.46,155.36,4.5,96,6.75,30.48,Smoke
50,1.22,47,30.46,157.78,6.75,96,4.5,30.32,Smoke
50,1.24,46,30.46,151.6,3.37,95,3.37,30.17,Smoke
50,1.25,47,30.46,105.78,4.5,96,4.5,30.05,Smoke
50,1.19,48,30.46,135.55,4.5,96,5.62,30.15,Smoke
50,1.19,56,30.46,140.92,4.5,97,5.62,30.24,Smoke
50,1.23,57,30.46,165,4.5,98,5.62,30.18,Smoke
51,1.19,55,30.46,126.63,3.37,99,5.62,30.02,Smoke
51,1.23,54,30.46,119.97,4.5,99,6.75,29.93,Smoke
51,1.22,53,30.45,95.57,2.25,99,11.25,30.09,Smoke
51,1.24,51,30.45,100.02,4.5,99,9,30.01,Smoke
51,1.24,51,30.45,111.73,2.25,97,4.5,30.03,Smoke
51,1.23,52,30.45,145.77,5.62,96,10.12,30,Smoke
51,1.23,51,30.45,105.89,6.75,95,11.25,29.85,Smoke
51,1.24,52,30.45,120.86,5.62,95,7.87,29.85,Clear
51,1.23,55,30.44,170.11,5.62,95,5.62,30.11,Smoke
52,1.21,55,30.44,107.15,5.62,95,10.12,29.96,Smoke
52,1.24,55,30.44,129.29,6.75,96,5.62,29.95,Smoke
52,1.18,59,30.45,158.73,3.37,96,7.87,30.04,Smoke
52,1.52,59,30.44,211.38,2.25,96,10.12,30.01,Smoke
53,5.07,61,30.44,174.97,4.5,96,6.75,30.18,Smoke
53,6.16,62,30.44,120.78,7.87,95,3.37,30.1,Smoke
53,6.63,59,30.44,118.82,5.62,96,5.62,29.85,Smoke
54,10.96,59,30.44,154.16,4.5,96,5.62,29.95,Smoke
55,19.42,57,30.44,58.42,6.75,96,4.5,30.05,Smoke
55,27.14,53,30.44,47.86,4.5,96,14.62,30.33,Smoke
56,33.75,52,30.44,74.56,2.25,96,7.87,30.18,Smoke
56,49.57,49,30.44,25.72,6.75,96,7.87,30.06,Smoke
56,59.62,50,30.44,102.11,2.25,97,2.25,30.18,Smoke
56,87.23,48,30.44,67.49,3.37,97,5.62,29.99,Haze
56,109.93,49,30.43,180.29,2.25,98,4.5,30.09,Haze
57,130.82,57,30.43,150.2,2.25,99,4.5,30.29,Smoke
57,160.52,55,30.43,47.3,5.62,99,3.37,30.08,Smoke
58,191.37,52,30.43,333.81,1.12,100,5.62,29.77,Smoke
58,207.05,49,30.43,41.62,4.5,100,3.37,30.13,Smoke
58,240.99,45,30.43,132.36,5.62,100,6.75,30.26,Smoke
58,274.83,41,30.43,332.09,4.5,100,2.25,30.04,Smoke
58,300.94,55,30.43,45.88,3.37,100,9,29.86,Smoke
58,322.71,56,30.43,94.24,7.87,99,13.5,29.9,Smoke
58,346.59,50,30.43,81.57,6.75,97,10.12,29.94,Smoke
58,364.18,49,30.43,351.03,7.87,97,6.75,29.74,Smoke
58,368.35,51,30.43,78.81,5.62,96,13.5,30.07,Smoke
58,362.84,46,30.43,85.96,5.62,95,7.87,30.15,Smoke
59,423.9,48,30.43,19.78,4.5,95,15.75,29.95,Smoke
58,457.69,59,30.43,18.26,4.5,95,16.87,29.95,Smoke
58,511.38,52,30.43,69.08,3.37,96,16.87,30.19,Smoke
58,566.83,52,30.43,40.87,4.5,96,14.62,30.14,Smoke
58,187.96,49,30.43,0.13,4.5,96,14.62,30.24,Smoke
59,310.59,58,30.43,27.34,9,96,7.87,30.08,Smoke
59,230.26,46,30.43,359.93,3.37,97,9,29.83,Smoke
60,623.31,46,30.43,22.18,7.87,96,12.37,29.79,Smoke
60,312.1,48,30.43,4.38,10.12,97,3.37,30.18,Smoke
60,803.72,44,30.43,355.03,7.87,98,4.5,30.13,Smoke
60,671.97,47,30.42,0.4,7.87,98,6.75,29.93,Smoke
60,670.32,51,30.42,53.16,4.5,99,5.62,29.92,Smoke
60,679.73,48,30.42,353.87,9,99,10.12,29.8,Smoke
60,687.62,54,30.43,2.04,4.5,100,12.37,29.74,Smoke
61,697.66,53,30.42,34.85,11.25,100,6.75,30.03,Smoke
61,716.27,44,30.42,11.08,7.87,99,5.62,29.99,Smoke
61,744.43,50,30.43,1.6,5.62,99,3.37,29.81,Clear
61,612.34,53,30.42,345.21,7.87,98,9,29.92,Clear
61,760.9,50,30.42,165.42,4.5,96,4.5,30.14,Clear
61,773.71,57,30.42,30.3,6.75,95,3.37,30.17,Smoke
61,790.08,59,30.42,34.24,3.37,96,14.62,30.01,Smoke
61,804.28,59,30.42,19.11,7.87,97,4.5,29.98,Smoke
61,818.82,53,30.42,84.61,6.75,98,13.5,29.91,Smoke
62,855.63,51,30.42,31.88,5.62,98,13.5,29.76,Smoke
62,875.16,58,30.42,149.48,3.37,99,10.12,29.96,Smoke
62,867.9,54,30.42,62.54,3.37,99,18,30.27,Smoke
62,872.67,58,30.43,39.59,5.62,99,11.25,30.06,Smoke
62,890.52,50,30.43,122.13,4.5,99,4.5,30.09,Smoke
62,911.06,53,30.43,65.07,7.87,99,11.25,30.17,Smoke
62,925.16,49,30.43,69.79,7.87,99,5.62,30.12,Smoke
62,933.15,47,30.43,346.87,5.62,99,3.37,30.1,Smoke
62,942.73,53,30.43,359.93,5.62,100,9,30.01,Smoke
62,955.74,50,30.43,9.92,4.5,100,9,29.96,Smoke
62,959.47,54,30.43,19.98,9,99,9,29.85,Smoke
62,970.22,57,30.43,0.9,6.75,96,7.87,29.82,Smoke
62,974.87,54,30.43,19.13,11.25,94,4.5,29.92,Smoke
62,985.22,53,30.44,61.93,7.87,95,7.87,29.78,Smoke
62,992.19,50,30.43,63.35,10.12,91,13.5,29.55,Smoke
62,997.26,56,30.44,171.18,7.87,90,6.75,29.61,Smoke
62,1004.6,54,30.44,45.65,7.87,89,12.37,29.77,Smoke
63,1007.96,54,30.44,15.92,11.25,90,11.25,30.08,Smoke
63,1013.59,54,30.44,130.14,9,91,7.87,30.12,Haze
62,1020.55,51,30.44,21.54,10.12,93,9,30.02,Haze
62,1025.63,45,30.44,70.89,15.75,94,10.12,30,Haze
63,1029.41,46,30.45,59.62,12.37,95,9,30.02,Smoke
63,1034.46,43,30.45,79.08,7.87,95,6.75,29.91,Smoke
63,1033.54,43,30.45,359.46,5.62,96,12.37,29.81,Smoke
63,1039.06,40,30.45,59.89,4.5,96,11.25,29.81,Smoke
63,1039.67,39,30.45,40.66,6.75,95,9,29.81,Smoke
64,1037.76,41,30.46,20.44,14.62,95,15.75,29.89,Smoke
64,1039.52,41,30.45,40.4,13.5,93,16.87,29.84,Smoke
63,1040.14,41,30.45,117.62,4.5,94,14.62,29.77,Smoke
63,1039.22,42,30.46,354.78,1.12,93,19.12,29.84,Smoke
63,1035.99,41,30.46,35.68,4.5,93,18,30.09,Smoke
63,1033.49,39,30.46,350,5.62,93,20.25,30.24,Smoke
63,1029.15,41,30.46,14.63,9,93,9,30.22,Overcast
63,1025.51,41,30.46,349.53,2.25,93,14.62,30.06,Smoke
63,1023.78,41,30.46,31.9,9,93,9,29.97,Smoke
63,1017.57,37,30.47,339.83,3.37,93,10.12,30.03,Smoke
63,1013.93,34,30.47,67.14,11.25,93,13.5,30,Smoke
63,1009.36,34,30.47,61.67,9,93,13.5,30.01,Smoke
63,1002.89,33,30.47,32.74,6.75,93,12.37,30.02,Smoke
63,999.19,31,30.47,4.51,6.75,93,15.75,30.05,Smoke
62,987.02,36,30.47,38.9,10.12,93,12.37,30.03,Smoke
63,981.66,40,30.47,28.85,7.87,93,3.37,29.99,Smoke
63,973.79,35,30.47,114.97,5.62,93,4.5,29.98,Clear
63,964.46,37,30.47,60.94,6.75,93,14.62,30,Smoke
62,957.02,40,30.47,37.85,7.87,93,10.12,29.95,Smoke
62,946.32,44,30.47,38.03,11.25,93,3.37,29.88,Smoke
62,933.08,45,30.47,37.37,11.25,93,5.62,29.85,Smoke
62,926.79,43,30.47,10.44,5.62,93,6.75,29.82,Smoke
62,915.84,42,30.47,5.51,11.25,93,6.75,29.85,Smoke
62,901.65,42,30.47,24.74,9,93,6.75,29.9,Smoke
61,899.53,46,30.47,37.67,7.87,93,6.75,29.91,Smoke
62,878.76,49,30.47,61.93,7.87,93,7.87,29.96,Smoke
61,867.98,44,30.47,359.93,6.75,93,10.12,29.86,Clear
62,855.89,41,30.47,26.99,7.87,93,7.87,29.82,Smoke
61,841.52,42,30.47,21.37,9,93,7.87,29.88,Smoke
62,830.19,38,30.47,52.73,10.12,93,9,29.89,Smoke
62,815.1,39,30.47,61.67,6.75,93,2.25,29.88,Smoke
62,799.29,41,30.47,42.59,5.62,93,6.75,29.81,Smoke
61,785.6,41,30.47,37.83,7.87,93,6.75,29.85,Smoke
61,768.39,45,30.47,7.14,7.87,93,7.87,29.83,Smoke
61,754.06,44,30.47,186.9,4.5,93,5.62,29.82,Smoke
61,738.75,43,30.47,7.25,7.87,93,3.37,29.95,Smoke
61,722.23,44,30.46,33.19,11.25,93,9,29.93,Clear
61,706.41,44,30.46,56.91,6.75,93,5.62,29.9,Clear
61,686.3,45,30.46,70.29,3.37,93,6.75,29.99,Clear
60,669.11,49,30.46,16.18,9,93,7.87,29.99,Clear
61,652.51,47,30.46,52.76,2.25,93,13.5,29.96,Clear
61,634.99,41,30.46,14.96,6.75,93,12.37,30,Clear
61,617.87,31,30.46,19.08,7.87,93,7.87,30.04,Smoke
61,597.41,34,30.46,0.1,2.25,93,2.25,29.99,Smoke
61,578.24,31,30.46,24.56,4.5,93,5.62,29.9,Smoke
60,559.23,35,30.46,41.61,1.12,93,4.5,29.93,Smoke
60,538.41,37,30.46,31.05,3.37,93,2.25,30,Smoke
60,519.16,41,30.46,25.35,4.5,93,9,30.01,Smoke
60,499.21,40,30.45,3.77,3.37,93,5.62,29.95,Smoke
60,478.48,40,30.45,17.86,3.37,93,3.37,29.87,Smoke
59,458.27,40,30.45,74.63,1.12,93,3.37,29.88,Smoke
59,438.05,45,30.45,64.84,2.25,93,3.37,29.97,Smoke
60,416.28,30,30.44,53.32,5.62,93,7.87,29.94,Smoke
59,395.14,31,30.44,75.7,3.37,93,6.75,29.92,Smoke
58,373.7,34,30.44,58.43,2.25,93,3.37,30,Smoke
57,352.56,34,30.43,113.5,1.12,93,4.5,30.08,Smoke
54,305.78,38,30.43,146.52,1.12,93,6.75,30.15,Smoke
52,278.29,42,30.43,142.16,2.25,93,6.75,30.12,Smoke
51,251.51,44,30.43,151.94,2.25,93,11.25,30.03,Smoke
50,222.48,46,30.43,143.23,4.5,93,13.5,29.97,Clear
49,164.44,47,30.43,172.83,3.37,93,9,29.99,Clear
48,21.36,48,30.43,176.93,4.5,93,7.87,30,Clear
48,20,50,30.42,182.88,5.62,93,7.87,30.01,Clear
48,19.24,51,30.42,173.07,7.87,93,9,30.09,Clear
47,18.33,53,30.42,191.44,7.87,93,12.37,30.1,Smoke
47,17.31,54,30.42,193.99,9,93,7.87,30.03,Smoke
47,16.09,55,30.42,190.38,10.12,93,9,29.96,Smoke
47,14.73,56,30.42,179.45,10.12,93,6.75,29.96,Smoke
47,12.53,57,30.42,188.58,6.75,93,3.37,29.95,Smoke
47,9.86,57,30.42,188.37,7.87,93,3.37,29.86,Smoke
47,7.7,58,30.41,192.09,7.87,93,7.87,29.93,Smoke
47,6.17,61,30.41,157.11,7.87,93,10.12,29.99,Smoke
47,4.32,62,30.41,177.65,6.75,93,4.5,29.96,Smoke
47,2.34,62,30.41,187.76,7.87,93,5.62,29.97,Smoke
47,1.47,61,30.41,185.73,7.87,93,4.5,30.01,Smoke
47,1.21,60,30.41,184.95,9,93,2.25,30,Smoke
47,1.23,59,30.41,182.07,9,93,10.12,29.99,Smoke
46,1.24,58,30.41,184.89,10.12,93,6.75,29.96,Smoke
46,1.23,59,30.4,190.62,7.87,93,3.37,29.95,Smoke
46,1.21,58,30.4,188.4,7.87,93,5.62,30,Smoke
46,1.21,58,30.4,193.81,5.62,93,7.87,30.05,Smoke
45,1.22,56,30.4,191.32,6.75,93,5.62,30.03,Haze
45,1.22,56,30.4,184.3,5.62,93,4.5,29.97,Haze
45,1.2,55,30.4,174.74,4.5,93,11.25,29.94,Clear
45,1.2,55,30.4,184.56,6.75,93,6.75,29.98,Clear
46,1.16,55,30.4,165.66,6.75,93,4.5,30.02,Clear
46,1.15,53,30.4,177.23,4.5,93,9,30,Haze
46,1.18,51,30.4,173.92,4.5,93,12.37,29.98,Smoke
46,1.18,50,30.4,174.53,5.62,93,2.25,29.99,Smoke
46,1.18,50,30.4,163.85,3.37,93,4.5,29.96,Smoke
46,1.19,49,30.4,166.26,4.5,93,7.87,29.9,Smoke
46,1.18,49,30.39,176.34,3.37,93,2.25,29.89,Smoke
46,1.2,48,30.39,170.62,5.62,93,4.5,29.94,Smoke
46,1.17,47,30.39,176.8,3.37,93,1.12,29.96,Smoke
46,1.17,47,30.39,170.45,4.5,93,11.25,30,Smoke
46,1.18,45,30.39,180.3,3.37,93,5.62,29.99,Smoke
46,1.21,45,30.39,187.66,6.75,93,4.5,30.01,Smoke
46,1.17,45,30.39,173.01,5.62,93,6.75,29.97,Smoke
46,1.18,45,30.39,178.75,5.62,93,13.5,29.95,Smoke
46,1.19,47,30.39,171.85,6.75,93,10.12,29.88,Smoke
46,1.18,47,30.39,189.46,6.75,93,7.87,29.92,Smoke
46,1.2,48,30.39,169.78,5.62,93,4.5,29.9,Smoke
46,1.22,50,30.39,183.99,6.75,93,5.62,29.87,Smoke
46,1.21,52,30.39,173.17,5.62,93,5.62,29.92,Smoke
46,1.22,55,30.38,186.34,7.87,93,5.62,29.98,Smoke
46,1.21,56,30.38,159.97,6.75,93,9,29.99,Smoke
47,1.18,57,30.38,170.61,4.5,93,6.75,29.94,Smoke
47,1.24,58,30.39,171.98,3.37,93,9,29.9,Smoke
47,1.22,58,30.38,177.67,6.75,93,7.87,29.9,Smoke
47,1.24,58,30.39,165.64,5.62,93,7.87,29.93,Smoke
47,1.26,58,30.38,181.39,4.5,93,7.87,29.96,Smoke
47,1.18,58,30.38,156.71,3.37,93,3.37,29.89,Smoke
47,1.24,58,30.39,156.31,7.87,93,4.5,29.87,Smoke
47,1.19,59,30.39,168.46,4.5,93,10.12,29.91,Smoke
47,1.2,59,30.39,172.8,5.62,93,9,29.93,Smoke
47,1.24,60,30.39,158.68,5.62,93,10.12,29.9,Smoke
47,1.23,60,30.39,167.47,6.75,93,3.37,29.91,Smoke
47,1.25,60,30.39,165.89,5.62,93,9,29.95,Smoke
47,1.23,62,30.39,163.06,5.62,93,11.25,30,Smoke
47,1.2,64,30.39,154.2,2.25,93,9,30.02,Smoke
47,1.24,64,30.39,190.87,6.75,93,5.62,30.01,Smoke
47,1.24,66,30.39,168.77,4.5,93,6.75,30.04,Smoke
47,1.23,65,30.4,183.32,5.62,93,3.37,29.97,Smoke
47,1.2,68,30.4,170.4,4.5,93,7.87,29.9,Smoke
48,1.21,70,30.4,186.06,5.62,93,6.75,29.83,Smoke
48,1.22,69,30.4,152.34,5.62,93,16.87,29.89,Smoke
48,1.25,71,30.4,171.74,5.62,93,13.5,30,Smoke
48,1.18,73,30.4,164.9,6.75,93,13.5,30.19,Smoke
48,1.22,76,30.4,193.66,5.62,93,12.37,30.16,Smoke
48,1.21,76,30.4,183.44,5.62,93,11.25,30.09,Smoke
48,1.25,77,30.4,169.53,5.62,93,11.25,30.01,Smoke
48,1.23,77,30.41,170.89,5.62,93,7.87,29.93,Smoke
48,1.23,77,30.41,180.16,5.62,93,6.75,29.88,Smoke
48,1.22,78,30.41,159.54,5.62,93,6.75,29.89,Smoke
48,1.23,78,30.41,160.62,5.62,93,3.37,29.94,Smoke
48,1.23,78,30.41,179.43,5.62,93,6.75,30.01,Smoke
48,1.19,78,30.41,177.17,5.62,93,4.5,30.07,Smoke
48,1.22,78,30.41,176.09,3.37,93,5.62,30.09,Smoke
48,1.22,78,30.41,170.4,6.75,93,5.62,30.1,Smoke
49,1.22,78,30.41,181.25,4.5,93,6.75,30.1,Smoke
49,1.22,77,30.41,183.79,7.87,93,5.62,30.06,Smoke
49,1.22,78,30.41,166.36,4.5,93,7.87,30,Smoke
49,1.23,77,30.42,168.56,5.62,93,5.62,29.98,Smoke
50,1.21,75,30.42,162.03,5.62,93,2.25,29.92,Smoke
50,1.22,75,30.42,121.92,2.25,93,5.62,29.83,Smoke
49,1.21,75,30.42,148.94,6.75,93,7.87,29.79,Smoke
50,1.24,75,30.42,167.24,5.62,93,1.12,29.82,Smoke
50,1.23,74,30.42,169.78,5.62,93,4.5,30.06,Smoke
50,1.22,74,30.42,183.28,4.5,93,3.37,30.12,Smoke
50,1.21,74,30.42,159.15,6.75,93,2.25,29.9,Smoke
50,1.24,73,30.42,176.24,4.5,93,3.37,29.86,Smoke
50,1.23,74,30.42,158.44,6.75,93,9,29.92,Smoke
50,1.23,75,30.42,161.04,7.87,93,9,29.98,Smoke
50,1.24,75,30.43,145.97,6.75,93,7.87,29.93,Smoke
50,1.19,77,30.43,168.62,7.87,93,4.5,29.89,Smoke
50,1.22,79,30.43,160.36,5.62,93,5.62,30.04,Smoke
50,1.22,79,30.43,149.44,4.5,93,4.5,29.88,Smoke
50,1.23,81,30.43,147.81,9,93,5.62,29.8,Smoke
51,1.2,82,30.43,161.97,5.62,93,5.62,30.09,Smoke
51,1.22,84,30.43,169.04,6.75,93,7.87,30.06,Smoke
51,1.2,86,30.43,167.45,5.62,93,6.75,29.94,Smoke
50,1.23,88,30.43,163.91,6.75,93,6.75,29.9,Smoke
50,1.22,89,30.43,142.26,10.12,93,9,30,Smoke
50,1.23,89,30.43,161.97,12.37,93,7.87,30.06,Smoke
51,1.23,87,30.43,159.7,9,93,2.25,30.02,Overcast
51,1.22,85,30.44,78.09,5.62,93,1.12,30.03,Clear
51,1.23,77,30.43,88.77,4.5,93,4.5,30.06,Clear
51,1.21,75,30.43,130.36,4.5,93,2.25,30.09,Clear
51,1.21,75,30.43,162.76,4.5,93,2.25,30.12,Haze
51,1.2,73,30.43,146.94,7.87,93,1.12,30.11,Haze
51,1.2,71,30.43,116.25,3.37,93,6.75,29.98,Haze
51,1.21,71,30.43,144.4,3.37,93,6.75,29.89,Haze
51,1.22,68,30.43,148.71,7.87,93,6.75,29.99,Smoke
51,1.21,66,30.43,153.22,5.62,93,9,30.1,Smoke
51,1.24,67,30.43,179.54,5.62,93,5.62,30.1,Smoke
51,1.2,69,30.43,180.65,2.25,93,6.75,30.22,Smoke
51,1.22,72,30.43,157.82,3.37,93,7.87,30.34,Smoke
51,1.21,67,30.44,135.43,5.62,93,9,30.26,Smoke
51,1.25,67,30.43,100.03,2.25,93,9,30.12,Smoke
51,1.25,68,30.43,112.05,6.75,93,9,30.09,Smoke
51,1.23,70,30.43,151.33,9,93,7.87,30.16,Smoke
51,1.23,75,30.43,138.72,6.75,93,6.75,30.28,Smoke
51,1.23,73,30.43,159.9,7.87,93,7.87,30.19,Smoke
52,1.18,68,30.43,105.34,4.5,93,13.5,30.1,Smoke
52,1.24,67,30.43,127.43,5.62,93,7.87,30.07,Smoke
52,1.23,67,30.43,120.88,7.87,93,6.75,29.83,Smoke
52,1.2,65,30.43,88.97,2.25,93,9,30.03,Smoke
52,1.23,65,30.42,111.28,4.5,93,9,30.34,Smoke
52,1.23,66,30.42,140.23,5.62,93,7.87,30.52,Smoke
52,1.23,65,30.42,160.04,6.75,93,10.12,30.4,Smoke
52,1.23,66,30.42,139.86,10.12,93,6.75,30.14,Smoke
52,1.21,67,30.41,122.69,6.75,93,6.75,30,Smoke
52,1.24,66,30.41,152.68,1.12,93,9,30.4,Smoke
53,1.22,69,30.41,162.52,5.62,93,6.75,30.48,Smoke
53,1.22,68,30.41,103.2,6.75,93,7.87,30.27,Smoke
53,1.23,69,30.41,128.17,5.62,93,6.75,30.08,Smoke
53,1.21,70,30.41,96.22,6.75,93,9,30.05,Smoke
53,1.27,73,30.41,109.76,6.75,93,6.75,29.86,Smoke
53,1.24,70,30.41,97.28,6.75,93,7.87,29.64,Smoke
53,1.2,71,30.4,189.66,1.12,93,10.12,30.06,Smoke
53,1.24,71,30.4,119.71,4.5,93,6.75,30.26,Smoke
53,1.2,72,30.4,116.54,4.5,93,5.62,30.22,Smoke
52,1.25,77,30.4,144.9,4.5,93,1.12,30.45,Smoke
52,1.25,82,30.39,137.32,6.75,93,2.25,30.24,Smoke
52,1.2,88,30.39,73,3.37,93,7.87,30.02,Smoke
52,1.24,93,30.39,118.46,4.5,93,1.12,30.03,Smoke
53,1.2,93,30.39,89.91,1.12,93,5.62,30.31,Smoke
53,1.25,91,30.39,76.58,5.62,93,5.62,30.33,Smoke
52,1.23,93,30.39,68.07,2.25,93,6.75,30.18,Smoke
52,1.24,94,30.39,105.92,2.25,93,5.62,30.11,Smoke
52,1.23,94,30.39,128.5,4.5,93,5.62,30.08,Clear
53,1.27,94,30.39,75.55,2.25,93,6.75,30.32,Smoke
53,1.43,93,30.39,89.11,3.37,93,6.75,30.33,Smoke
53,2.59,92,30.39,61.7,4.5,93,7.87,30.32,Smoke
54,4.5,91,30.39,15.53,4.5,93,6.75,30.31,Smoke
55,6.36,89,30.39,42.14,3.37,93,3.37,30.2,Smoke
55,9.83,86,30.38,25.85,3.37,93,4.5,30.18,Smoke
56,13.81,81,30.38,70.97,1.12,93,7.87,30.23,Smoke
56,24.13,82,30.38,71.25,1.12,93,7.87,30.15,Smoke
56,32.14,83,30.38,58.36,2.25,93,5.62,29.94,Smoke
56,44.93,82,30.38,6.05,4.5,93,11.25,29.99,Smoke
57,61,82,30.38,0.11,0,93,5.62,30.28,Smoke
57,82.38,82,30.38,6.02,1.12,93,9,30.14,Smoke
58,104.74,81,30.38,75.85,4.5,93,4.5,30.1,Smoke
58,128.94,75,30.38,60.74,4.5,93,3.37,30.12,Smoke
58,154.49,75,30.38,90.92,3.37,93,3.37,30.21,Smoke
57,181.97,75,30.38,84.96,7.87,93,4.5,30.02,Smoke
58,210.59,74,30.38,90.66,5.62,93,10.12,29.7,Smoke
58,238.19,79,30.38,83.12,4.5,93,6.75,29.81,Smoke
58,273.59,80,30.38,31.83,4.5,93,6.75,30.11,Smoke
58,297.07,80,30.38,73.56,4.5,93,2.25,30.05,Smoke
58,314.43,76,30.38,52.53,5.62,93,1.12,29.93,Smoke
58,341.61,77,30.38,354.71,4.5,93,2.25,30.09,Smoke
59,406.32,78,30.38,25.13,9,93,1.12,30.25,Smoke
59,378.69,73,30.38,12.59,10.12,93,4.5,30.14,Smoke
59,398.82,75,30.37,44.49,6.75,93,5.62,30.36,Smoke
59,417.96,76,30.37,27.26,5.62,93,2.25,30.48,Smoke
59,444.47,75,30.37,35.79,4.5,93,2.25,30.25,Smoke
59,462.34,71,30.37,43.49,7.87,93,3.37,30.08,Smoke
59,479.26,72,30.37,54.85,5.62,93,5.62,29.99,ScatteredClouds
60,502.5,68,30.37,38.26,5.62,93,7.87,30.48,Smoke
60,521.83,71,30.37,39.37,10.12,93,6.75,30.6,Smoke
61,539.84,60,30.38,38.24,4.5,93,7.87,30.38,Smoke
61,563.11,63,30.38,29.55,7.87,93,10.12,30.58,Smoke
61,580.41,65,30.37,99.56,2.25,93,9,30.54,Smoke
61,601.63,60,30.37,7.47,7.87,93,6.75,30.48,Smoke
61,618.37,62,30.37,40.57,6.75,93,11.25,30.42,Smoke
61,639.19,63,30.37,19.62,5.62,93,10.12,30.21,Smoke
61,657.19,62,30.37,57.08,6.75,93,13.5,30.28,Smoke
61,675.59,60,30.37,54.92,5.62,93,14.62,30.43,Smoke
61,691.73,68,30.37,27.95,3.37,93,9,30.33,Smoke
61,725.71,60,30.37,73.08,5.62,93,14.62,30.33,Smoke
62,738.91,63,30.37,37.92,5.62,93,13.5,30.29,Smoke
62,755.95,64,30.37,18.1,4.5,93,15.75,30.13,Smoke
62,768.89,60,30.38,59.21,4.5,93,13.5,30.28,Smoke
62,780.58,62,30.37,81.98,6.75,93,13.5,30.04,Smoke
62,798.77,56,30.37,12.69,4.5,93,14.62,29.94,Smoke
62,812.82,57,30.38,340.34,7.87,93,6.75,30.07,Smoke
62,825.33,59,30.38,21.61,7.87,93,12.37,30.07,Smoke
62,842.62,60,30.38,2.33,5.62,93,13.5,30.26,Smoke
63,851.79,60,30.38,28.66,11.25,93,19.12,30.2,Smoke
63,869.31,59,30.38,51.58,7.87,93,24.75,30.11,Smoke
62,882.14,58,30.38,137.12,5.62,93,12.37,30.21,Smoke
